Cell,CD20,CD45,CD34,CD10,CD19
VZA00602.L05,102429,2874.68,2350.37,22273.6,8217.46
VZA00602.L09,19087.7,1597.08,11021.6,19960.4,10492.9
VZA00602.L11,78138.8,3168.42,14455.8,22224.2,14127.2
VZA00602.L13,97266,2251.52,2977.84,14801.3,6922.34
VZA00602.L15,45868.3,2876.68,3271.25,20408.5,10375.6
VZA00602.L17,28493,3991.58,6589.36,21033,9455.92
VZA00602.L19,12069.2,2264.99,2169.38,18250.7,6074.93
VZA00602.L21,66634.5,6311.33,1067.65,35083.2,27672.6
VZA00602.M01,37757.7,7218.61,1217.18,27653.9,14740.4
VZA00602.M03,18215.3,3515.63,1970.57,28404.7,13496.9
VZA00602.M05,65983.4,2912.14,1722.28,32337.5,18612.8
VZA00602.M07,19303.1,2834.83,16591,21338,14586
VZA00602.M09,29147.9,5005.57,31881.5,23014.6,14945.1
VZA00602.M11,33957,3516.48,11344.5,17710.4,16304.9
VZA00602.M13,16649.3,1629.9,4023.54,33431.7,7727.35
VZA00602.M15,24995,4656.33,2720.05,19388,21698.7
VZA00602.M17,17820.2,4882.11,6417.58,29217.9,15960.5
VZA00602.M19,17989,2891.72,2424.14,23544.1,7878.23
VZA00602.M21,56665.9,3039.78,2259.76,39706.2,22044.8
VZA00602.M23,3703.89,14661.7,2420.76,1281.42,1071.2
VZA00602.N03,24496.2,3845.22,2095.5,34306.7,12437.9
VZA00602.N05,96158,8028.12,1132.96,36078.3,12757.3
VZA00602.N07,46613.2,5725.11,19210.4,48167.2,22677.2
VZA00602.N09,96585.8,5237.15,10633.3,25652.5,17245.8
VZA00602.N17,33044.9,3283.21,4846.55,31932.7,12328.1
VZA00602.N19,87075.1,7571.95,1036.77,30112.3,21224.6
VZA00602.N21,64166.6,2933.67,1623.69,11346.6,5933.81
VZA00602.O01,20728,5896.43,1819.33,26676.9,22924
VZA00602.O07,24437.1,6279.75,24172.2,33718.5,14169.9
VZA00602.O09,1162.86,2613.21,35973.6,691.469,1545.58
VZA00602.O15,53965.1,6053.11,4329.72,38718,22033
VZA00602.O17,5835.47,6055.48,3693.11,47058,3540.74
VZA00602.O21,13683.5,2823.54,2032.4,23456,8804.64
VZA00602.O23,103117,14103.5,511.907,1301.86,27163.1
VZA00602.P03,15777.5,5947.12,2074.84,10426.9,14741.2
VZA00602.P09,69237.6,2884.17,28439,16357.6,8077.36
VZA00602.P11,11811.5,2002.77,26974.8,19860.8,10272.8
VZA00602.P15,27814.4,3625.96,5992.86,24575.9,15407.9
VZA00602.P17,57189.3,4501.8,2767.06,20346,10634.4
VZA00602.P19,14036.6,2071.97,2308.1,29902.9,8800.74
VZA00602.P21,71076.1,5198.15,1599.12,18915.3,14562.8
VZA01001.A01,654.813,841.587,13308.1,48791.2,4840.25
VZA01001.A02,1115.01,506.157,20572.6,37865.1,5891.72
VZA01001.A03,359.788,1042.49,17698.3,41702,4328.02
VZA01001.A04,3201.79,1467.67,23873.2,28607.9,2124.02
VZA01001.A06,1099.92,2108.54,23558.8,21346.6,3159.74
VZA01001.A07,766.38,2921.81,21232,23072.5,3409.88
VZA01001.A08,1130.73,3032.81,23575.6,7149.79,1511.18
VZA01001.A09,1383.11,10915.7,2512,395.389,1233.03
VZA01001.A10,41232,14894.5,1654.36,383.868,20143
VZA01001.A11,1354.72,20429.2,1894.12,366.94,2299.64
VZA01001.A12,1195.74,9606.02,2316.68,445.977,1011.37
VZA01001.B01,490.694,397.141,16363.7,30670.1,3701.63
VZA01001.B02,1046.98,868.545,6608.7,46693,5100.55
VZA01001.B06,2026.66,1330.31,35201.4,19261.4,3461.91
VZA01001.B07,1159.12,3928.08,10119,25772.7,2378.8
VZA01001.B08,824.709,2137.18,23191.1,19113.8,2188.57
VZA01001.B09,1452.74,17538.4,3254.13,1426.87,1023.17
VZA01001.B10,41506.3,13946.6,1872.19,386.457,14569.5
VZA01001.B11,1470.11,20740.6,2367.9,606.717,1404.21
VZA01001.B12,1669.76,9177.71,1999.6,373.686,1446.49
VZA01001.C01,1069,1408.35,26775.7,21168.9,4986.26
VZA01001.C02,1181.72,2015,17381.2,23330.3,4280.25
VZA01001.C03,3825.44,4789.17,1210.02,3356.13,11273.2
VZA01001.C04,2204.21,3411.96,26810,29335.9,2342.78
VZA01001.C06,1387.62,1917.43,17668.3,21086.5,3774.4
VZA01001.C08,1384.77,3199.85,19370.9,18062.7,2491.49
VZA01001.C09,1765.87,20632.6,2060.84,487.172,713.044
VZA01001.C10,1403.81,18680.8,2104.57,222.052,980.71
VZA01001.C11,1424.03,12872.4,1964.3,451.454,1685.68
VZA01001.C12,1584.04,19755.3,2467.51,416.12,1211.21
VZA01001.D01,1918.11,2489.18,32279.1,42924.3,5740.71
VZA01001.D03,1488,1518.64,16978.4,26968.7,3032.42
VZA01001.D04,1980.39,505.217,8070.09,30699.9,4554.1
VZA01001.D05,1947.4,1614.91,19257.2,32779.5,7590.43
VZA01001.D06,1140.09,2621.46,30962.3,27607.2,1860.19
VZA01001.D07,1455.05,4014.28,14986,22251.3,1323.48
VZA01001.D08,1643.89,3248.77,31453.2,24679.7,4830.81
VZA01001.D09,1588.05,18330.3,1839.9,341.268,2712.73
VZA01001.D10,1571.81,14990.1,1987.69,514.878,686.392
VZA01001.D12,1607.8,10156.4,2432.4,704.526,1699.87
VZA01001.E01,519.938,1124.32,11685.5,33274.9,7692.44
VZA01001.E02,877.663,1282.01,13291.2,29012.6,4338.73
VZA01001.E03,793.879,1936.2,22736,29858.7,5415.48
VZA01001.E07,615.185,2287.74,16315.5,22065.3,3716.8
VZA01001.E08,1411.02,3333.58,18497.3,28580,5037.54
VZA01001.E09,1548.28,31063.5,2059.3,1315.11,815.272
VZA01001.E10,1369.94,12934.1,2202.8,334.44,1628.94
VZA01001.E11,1518.69,27148.7,2280.4,895.186,1050.87
VZA01001.E12,1600.5,12699.5,2741.82,895.589,1734.19
VZA01001.F02,934.787,554.72,15075.9,31660.4,3457.32
VZA01001.F04,1873.86,2528.82,1669.06,49683.3,6319.04
VZA01001.F05,1813.81,1131.64,32741.8,30066.1,2149.63
VZA01001.F06,1179.84,1492.47,18560.3,17825.1,3442.97
VZA01001.F07,983.753,1450.86,38127.9,23077.3,4122.22
VZA01001.F09,1582.01,11239.8,2465.37,785.936,1417.58
VZA01001.F12,1660.64,14075,2533.75,1005.6,727.55
VZA01001.G02,914.933,580.104,18641.6,29222.5,5459.97
VZA01001.G03,1257.89,2978.99,11935.3,24370,4632.02
VZA01001.G04,1895.92,497.487,2756.71,759.659,1380.94
VZA01001.G06,650.24,2078.51,22195.7,20959.3,3020.87
VZA01001.G07,1156.38,1293.63,16111.6,20138.9,4063.29
VZA01001.G08,904.766,2038.74,21380.4,30927.5,6913.42
VZA01001.G09,1610.12,13605.6,2513.59,718.886,1737.04
VZA01001.G10,1494.51,16386.3,2822.55,837.319,2202.18
VZA01001.G11,1570.97,9943.46,2144.13,329.31,1713.07
VZA01001.G12,1638.25,16585.9,2713.16,910.575,1468.54
VZA01001.H01,531.342,798.764,29693.8,19124.7,4403.86
VZA01001.H02,1755.62,1648.29,10481.7,16462.6,6232.81
VZA01001.H03,941.807,1546.13,12260.4,30601.5,6728.12
VZA01001.H06,1292.99,437.988,37552.2,20442.4,5433.12
