MITTAUSAIKA;Tyyppi;Taimen;TyyppiTaimen;Allastoisto;Allas;;Pituus;Paino;Condition;Sukupuoli;Sukukypsyys;Huom;N;
ALOITUS;2;1;1;1;822;;110;11;0,700571168;;;;100;
ALOITUS;2;1;1;1;822;;111;12,3;0,761908763;;;;100;
ALOITUS;2;1;1;1;822;;105;9,2;0,675849156;;;;100;
ALOITUS;2;1;1;1;822;;110;12,6;0,802472428;;;;100;
ALOITUS;2;1;1;1;822;;107;10,6;0,73488553;;;;100;
ALOITUS;2;1;1;1;822;;107;10,4;0,721019765;;;;100;
ALOITUS;2;1;1;1;822;;112;12,2;0,735197715;;;;100;
ALOITUS;2;1;1;1;822;;108;10;0,673775946;;;;100;
ALOITUS;2;1;1;1;822;;113;13,5;0,7916456;;;;100;
ALOITUS;2;1;1;1;822;;112;11,1;0,668909397;;;;100;
ALOITUS;2;1;1;1;822;;110;11,7;0,745152969;;;;100;
ALOITUS;2;1;1;1;822;;108;10,9;0,734415781;;;;100;
ALOITUS;2;1;1;1;822;;106;10,6;0,756370256;;;;100;
ALOITUS;2;1;1;1;822;;110;11,7;0,745152969;;;;100;
ALOITUS;2;1;1;2;821;;111;11,7;0,724742482;;;;100;
ALOITUS;2;1;1;2;821;;109;12,6;0,825281275;;;;100;
ALOITUS;2;1;1;2;821;;113;13,7;0,803373683;;;;100;
ALOITUS;2;1;1;2;821;;109;10,5;0,687734396;;;;100;
ALOITUS;2;1;1;2;821;;100;10;0,853276923;;;;100;
ALOITUS;2;1;1;2;821;;114;13,5;0,770527071;;;;100;
ALOITUS;2;1;1;2;821;;112;11,7;0,705066661;;;;100;
ALOITUS;2;1;1;2;821;;111;11,8;0,730936862;;;;100;
ALOITUS;2;1;1;2;821;;106;11,5;0,820590373;;;;100;
ALOITUS;2;1;1;2;821;;101;9,4;0,777957633;;;;100;
ALOITUS;2;1;1;2;821;;111;13;0,805269424;;;;100;
ALOITUS;2;1;1;2;821;;106;11,1;0,792048099;;;;100;
ALOITUS;2;1;1;2;821;;112;12,3;0,741223926;;;;100;
ALOITUS;2;1;1;2;821;;108;10,8;0,727678022;;;;100;
ALOITUS;2;1;1;2;821;;106;11,6;0,827725941;;;;100;
ALOITUS;2;1;1;2;821;;107;11,4;0,790348589;;;;100;
ALOITUS;2;1;1;2;821;;100;9,2;0,785014769;;;;100;
ALOITUS;2;1;1;2;821;;114;12,3;0,702035775;;;;100;
ALOITUS;2;1;1;2;821;;114;12,8;0,730573815;;;;100;
ALOITUS;2;1;1;2;821;;107;11,3;0,783415706;;;;100;
ALOITUS;2;1;1;2;821;;110;10,9;0,694202339;;;;100;
ALOITUS;2;1;1;2;821;;107;11,8;0,818080118;;;;100;
ALOITUS;2;1;1;2;821;;105;11;0,808080512;;;;100;
ALOITUS;2;1;1;2;821;;117;13,8;0,727298704;;;;100;
ALOITUS;2;1;1;2;821;;106;10,2;0,727827983;;;;100;
ALOITUS;2;1;1;2;821;;106;10,4;0,74209912;;;;100;
ALOITUS;2;1;1;2;821;;109;11,4;0,746683058;;;;100;
ALOITUS;2;1;1;2;821;;111;12,5;0,774297523;;;;100;
ALOITUS;2;1;1;2;821;;105;10;0,734618647;;;;100;
ALOITUS;2;1;1;2;821;;104;9,8;0,741382432;;;;100;
ALOITUS;2;1;1;2;821;;107;10,7;0,741818412;;;;100;
ALOITUS;2;1;1;2;821;;122;15,3;0,709170861;;;;100;
ALOITUS;2;1;1;2;821;;107;10,6;0,73488553;;;;100;
ALOITUS;2;1;1;2;821;;115;12,7;0,705695766;;;;100;
ALOITUS;2;1;1;2;821;;105;11,1;0,815426699;;;;100;
ALOITUS;2;1;1;2;821;;105;9,3;0,683195342;;;;100;
ALOITUS;2;1;1;2;821;;107;10,6;0,73488553;;;;100;
ALOITUS;2;1;1;2;821;;108;11,4;0,768104579;;;;100;
ALOITUS;2;1;1;2;821;;106;9,4;0,670743435;;;;100;
ALOITUS;2;1;1;2;821;;112;12,6;0,759302558;;;;100;
ALOITUS;2;1;1;2;821;;114;13,6;0,776234678;;;;100;
ALOITUS;2;1;1;2;821;;110;10,8;0,68783351;;;;100;
ALOITUS;2;1;1;2;821;;110;11,3;0,719677654;;;;100;
